document_path,image_path,text,ocr_text,label,content_source,clean_text
data/raw/facture_001.pdf,,Facture fournisseur mars 2026 montant TTC 4850 TND reference ADES ACH 42,Facture fournisseur mars 2026 montant TTC 4850 TND reference ADES ACH 42,facture,Facture fournisseur mars 2026 montant TTC 4850 TND reference ADES ACH 42,facture fournisseur mars 2026 montant ttc 4850 tnd reference ades ach 42
data/raw/bl_001.pdf,,Bon de livraison depot central quantite 120 cartons date reception 24 03 2026,Bon de livraison depot central quantite 120 cartons date reception 24 03 2026,bon_livraison,Bon de livraison depot central quantite 120 cartons date reception 24 03 2026,bon de livraison depot central quantite 120 cartons date reception 24 03 2026
data/raw/contrat_001.pdf,,Contrat CDI responsable qualite date debut 01 04 2026 salaire brut 2400 TND,Contrat CDI responsable qualite date debut 01 04 2026 salaire brut 2400 TND,contrat,Contrat CDI responsable qualite date debut 01 04 2026 salaire brut 2400 TND,contrat cdi responsable qualite date debut 01 04 2026 salaire brut 2400 tnd
data/raw/facture_002.pdf,,Facture import fournisseur international montant 12800 TND date emission 11 02 2026,Facture import fournisseur international montant 12800 TND date emission 11 02 2026,facture,Facture import fournisseur international montant 12800 TND date emission 11 02 2026,facture import fournisseur international montant 12800 tnd date emission 11 02 2026
data/raw/contrat_002.pdf,,Avenant contrat employe service administratif date effet 05 05 2026,Avenant contrat employe service administratif date effet 05 05 2026,contrat,Avenant contrat employe service administratif date effet 05 05 2026,avenant contrat employe service administratif date effet 05 05 2026
data/raw/bl_002.pdf,,Bon de livraison agence tunis transporteur rapid move numero BL 8892,Bon de livraison agence tunis transporteur rapid move numero BL 8892,bon_livraison,Bon de livraison agence tunis transporteur rapid move numero BL 8892,bon de livraison agence tunis transporteur rapid move numero bl 8892
data/raw/facture_003.pdf,,FACTURE N 2026 001542 Client ADES SMART SOLUTIONS Date 10 mai 2026 Montant HT 3500 TVA 595 TTC 4095 TND,FACTURE N 2026 001542 Client ADES SMART SOLUTIONS Date 10 mai 2026 Montant HT 3500 TVA 595 TTC 4095 TND,facture,FACTURE N 2026 001542 Client ADES SMART SOLUTIONS Date 10 mai 2026 Montant HT 3500 TVA 595 TTC 4095 TND,facture n 2026 001542 client ades smart solutions date 10 mai 2026 montant ht 3500 tva 595 ttc 4095 tnd
data/raw/bl_003.pdf,,BON DE LIVRAISON REF BL 2026 0785 Fournisseur logistique rapidxpress Articles 45 colis Poids total 980 kg Destination centre distribution Sfax,BON DE LIVRAISON REF BL 2026 0785 Fournisseur logistique rapidxpress Articles 45 colis Poids total 980 kg Destination centre distribution Sfax,bon_livraison,BON DE LIVRAISON REF BL 2026 0785 Fournisseur logistique rapidxpress Articles 45 colis Poids total 980 kg Destination centre distribution Sfax,bon de livraison ref bl 2026 0785 fournisseur logistique rapidxpress articles 45 colis poids total 980 kg destination centre distribution sfax
data/raw/contrat_003.pdf,,CONTRAT DE TRAVAIL Type CDI Employe Ingenieur systemes Date signature 15 mars 2026 Salaire de base 3200 TND Avantages transport 250 TND,CONTRAT DE TRAVAIL Type CDI Employe Ingenieur systemes Date signature 15 mars 2026 Salaire de base 3200 TND Avantages transport 250 TND,contrat,CONTRAT DE TRAVAIL Type CDI Employe Ingenieur systemes Date signature 15 mars 2026 Salaire de base 3200 TND Avantages transport 250 TND,contrat de travail type cdi employe ingenieur systemes date signature 15 mars 2026 salaire de base 3200 tnd avantages transport 250 tnd
data/raw/facture_004.pdf,,Invoice Number INV 2026 5544 Bill Date 18 mai 2026 Vendor Tech Solutions Inc Total Amount 8750 TND Payment Terms Net 30 days,Invoice Number INV 2026 5544 Bill Date 18 mai 2026 Vendor Tech Solutions Inc Total Amount 8750 TND Payment Terms Net 30 days,facture,Invoice Number INV 2026 5544 Bill Date 18 mai 2026 Vendor Tech Solutions Inc Total Amount 8750 TND Payment Terms Net 30 days,invoice number inv 2026 5544 bill date 18 mai 2026 vendor tech solutions inc total amount 8750 tnd payment terms net 30 days
data/raw/bl_004.pdf,,Delivery Note DN 2026 0234 Recipient Warehouse main office Boxes received 67 Tracking ID TRACK 98765432 Received by signature on 19 05 2026,Delivery Note DN 2026 0234 Recipient Warehouse main office Boxes received 67 Tracking ID TRACK 98765432 Received by signature on 19 05 2026,bon_livraison,Delivery Note DN 2026 0234 Recipient Warehouse main office Boxes received 67 Tracking ID TRACK 98765432 Received by signature on 19 05 2026,delivery note dn 2026 0234 recipient warehouse main office boxes received 67 tracking id track 98765432 received by signature on 19 05 2026
data/raw/contrat_004.pdf,,Employment Agreement Position Manager commercial Duration 24 months Start date 01 juin 2026 Salary 2800 TND Benefits Health insurance,Employment Agreement Position Manager commercial Duration 24 months Start date 01 juin 2026 Salary 2800 TND Benefits Health insurance,contrat,Employment Agreement Position Manager commercial Duration 24 months Start date 01 juin 2026 Salary 2800 TND Benefits Health insurance,employment agreement position manager commercial duration 24 months start date 01 juin 2026 salary 2800 tnd benefits health insurance
